,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,27.36793103448276,894.8504307320027,49.85666666666666,1318.4618894736843,-4.204971691516086,3.871791849652286e-05 < 0.05
Tone,65.65741379310346,1515.0749072292801,49.12267973856209,1154.0858250085998,3.0298445609517826,0.0027555088695223194 < 0.05
WPS,11.117758620689656,41.59218611615246,11.410915032679737,44.00592810457516,-0.28875876724663396,0.7730521851022384
adverb,7.216724137931035,85.16939083484573,6.076143790849673,42.72892253181974,1.0037604392661348,0.3166548025864011
negate,1.7601724137931034,16.94868944343618,1.4881045751633986,7.651289146886825,0.5528072581125507,0.5809861669682095
adj,6.078965517241379,61.151184875983056,6.107385620915033,45.98445101479189,-0.02603364643440238,0.9792553417242875
tone_neg,0.8144827586206896,9.695544464609803,0.31137254901960787,1.7224698142414863,1.652796911234887,0.09987358511191503
emo_anx,0.45879310344827584,7.2128774652147625,0.06535947712418301,0.6535947712418301,1.6325765670971537,0.10406375813255189
emo_sad,0.0,0.0,0.0,0.0,,nan
Cognition,14.605689655172414,112.09636530550515,16.043529411764705,95.0062874613003,-0.9340127501310435,0.35137514587919394
discrep,1.9374137931034483,13.416563369630973,2.608562091503268,20.897850550395596,-1.0022935268030666,0.3173608637001346
tentat,3.826206896551724,47.83881343012705,3.5655555555555556,22.353576169590642,0.3122585137244402,0.7551553810162355
differ,4.619655172413792,53.99806654567453,4.6496732026143786,25.7782202872377,-0.03364676794584857,0.9731909394738516
Perception,6.453275862068965,80.36109960677555,7.651241830065358,43.71174515823873,-1.060101435731533,0.29032201593348267
auditory,0.7472413793103448,12.105129098608591,0.11196078431372551,0.7664263931888544,2.097287398252455,0.03717047129968224 < 0.05
feeling,0.373448275862069,2.2360194797338178,0.37392156862745096,2.532341099071207,-0.0019603340743653743,0.9984377505450424
Drives,2.798448275862069,27.66041684815487,4.307777777777777,27.942054239766083,-1.8542620931696763,0.06511052602224161
achieve,1.5779310344827588,17.364858802177856,1.1816993464052288,7.367423409012728,0.808790627838311,0.4195553077694746
power,0.0,0.0,1.0522875816993464,7.076165127278982,-4.893067209953481,2.506375247813609e-06 < 0.05
reward,0.0,0.0,0.057777777777777775,0.16208055555555556,-1.7751746658215655,0.07787038104757077
time,6.640689655172414,107.83836091954022,5.427254901960784,48.63128978328174,0.9777298867698121,0.3293382947157062
netspeak,2.4555172413793107,29.088586569872955,1.227516339869281,17.04243589611283,1.7663327352616098,0.07879985319601573
