,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,52.48304093567253,1429.727760110079,27.36793103448276,894.8504307320027,4.592236041945524,7.266585886024864e-06 < 0.05
Tone,52.99426900584795,1428.3831010801516,65.65741379310346,1515.0749072292801,-2.188412521521177,0.02965950722169753 < 0.05
WPS,13.327719298245613,65.89171417956658,11.117758620689656,41.59218611615246,1.8808940128736598,0.06126650347319089
adverb,6.797251461988304,64.29655298933608,7.216724137931035,85.16939083484573,-0.33104548547543367,0.7409155117396348
negate,1.076608187134503,20.605162545579642,1.7601724137931034,16.94868944343618,-1.013873275283913,0.3117226573473936
adj,5.349766081871345,77.22095288613693,6.078965517241379,61.151184875983056,-0.5609539157629095,0.5753822445915128
tone_neg,0.6165497076023392,10.662620378396975,0.8144827586206896,9.695544464609803,-0.40353687182162956,0.6869331749399537
emo_anx,0.053157894736842105,0.4832052631578948,0.45879310344827584,7.2128774652147625,-1.81090892732804,0.07147692154361816
emo_sad,0.1506432748538012,2.0978613484692117,0.0,0.0,1.3600642113062404,0.17561047862737378
Cognition,13.401461988304094,156.24923137942898,14.605689655172414,112.09636530550515,-0.6577727218166004,0.5113506465106361
discrep,3.453918128654971,26.048828675610597,1.9374137931034483,13.416563369630973,2.0866031238479823,0.03804049375923628 < 0.05
tentat,2.7854385964912285,41.12507554179568,3.826206896551724,47.83881343012705,-1.046817965665721,0.29629689436612505
differ,3.2721637426900583,30.058426467148262,4.619655172413792,53.99806654567453,-1.4765530226074322,0.1411813794810404
Perception,7.790292397660818,72.98586991400069,6.453275862068965,80.36109960677555,1.0171162284172726,0.31018096877956197
auditory,0.12450292397660818,0.8411801926384587,0.7472413793103448,12.105129098608591,-2.139401277604013,0.03347046741152131 < 0.05
feeling,0.2866666666666666,1.8046152941176472,0.373448275862069,2.2360194797338178,-0.41292499328865606,0.6800513293831241
Drives,3.9178362573099417,34.99924882008943,2.798448275862069,27.66041684815487,1.2793544461615491,0.20207840980177436
achieve,1.193859649122807,12.2765826625387,1.5779310344827588,17.364858802177856,-0.6865440827770208,0.4930707680188273
power,0.6588888888888889,6.3089240522875825,0.0,0.0,3.430303839723227,0.0007567648447337442 < 0.05
reward,0.053391812865497074,0.2539472514619883,0.0,0.0,1.3854822428593399,0.16772013340823227
time,5.282222222222222,57.04568091503268,6.640689655172414,107.83836091954022,-1.0700805842527907,0.28571952563615166
netspeak,0.5812280701754386,4.0471237770897845,2.4555172413793107,29.088586569872955,-3.836844813123961,0.00016155707589952215 < 0.05
