,mean_a,var_a,mean_b,var_b,t_value,p_value
Clout,52.48304093567253,1429.727760110079,54.08406451612904,1357.3126346711354,-0.3864717515807326,0.6994009994732675
Tone,52.99426900584795,1428.3831010801516,46.322258064516134,1230.6937318810224,1.646893980439863,0.10054935378688135
WPS,13.327719298245613,65.89171417956658,11.403161290322581,71.33262695433598,2.097061294501788,0.03676293494543718 < 0.05
adverb,6.797251461988304,64.29655298933608,5.855419354838711,46.90031719312945,1.1345565440595677,0.2573998475829054
negate,1.076608187134503,20.605162545579642,0.8474193548387097,4.924376413908671,0.5873390132467624,0.5575016782304789
adj,5.349766081871345,77.22095288613693,6.246838709677419,45.718546434855476,-1.0252303393483573,0.30601933567063816
tone_neg,0.6165497076023392,10.662620378396975,0.4010967741935484,3.1332228152492667,0.7299168163381942,0.46596842480900513
emo_anx,0.053157894736842105,0.4832052631578948,0.0716774193548387,0.7963361290322581,-0.2100453038523237,0.8337643356043231
emo_sad,0.1506432748538012,2.0978613484692117,0.0,0.0,1.3600642113062404,0.17561047862737378
Cognition,13.401461988304094,156.24923137942898,15.364645161290323,105.00382373690826,-1.5413701822972297,0.12420279150838202
discrep,3.453918128654971,26.048828675610597,3.166709677419355,17.884061181399243,0.5500328534765174,0.582675806314245
tentat,2.7854385964912285,41.12507554179568,3.3658709677419356,27.382742580645164,-0.8898385122350979,0.37421282787656895
differ,3.2721637426900583,30.058426467148262,3.5424516129032253,27.9904562882279,-0.451978781296271,0.6515866972339728
Perception,7.790292397660818,72.98586991400069,7.594774193548387,75.34437576036865,0.20479201317090637,0.8378632182327841
auditory,0.12450292397660818,0.8411801926384587,0.22096774193548388,1.0238685379136994,-0.9029150593200757,0.3672417542991958
feeling,0.2866666666666666,1.8046152941176472,0.4806451612903226,4.564982697947215,-0.9907526554568385,0.32254569053850446
Drives,3.9178362573099417,34.99924882008943,5.468322580645161,45.70642184331797,-2.208072625745499,0.027939258909953652 < 0.05
achieve,1.193859649122807,12.2765826625387,2.0302580645161292,19.839310322580644,-1.893055090404188,0.05924149941232748
power,0.6588888888888889,6.3089240522875825,0.8235483870967742,10.960715249266862,-0.5086547429188388,0.6113404274779171
reward,0.053391812865497074,0.2539472514619883,0.0952258064516129,0.6066874486803518,-0.5809384942411263,0.5616857812688599
time,5.282222222222222,57.04568091503268,4.774967741935483,50.14920048596565,0.6237638023834898,0.533221609479217
netspeak,0.5812280701754386,4.0471237770897845,0.08212903225806452,0.24783894428152495,3.1398974664440242,0.0019560508295867283 < 0.05
